GUID 75514ad9e3174aeca33eb58a14c106af

Type Gun
Rarity Uncommon
Useable Gun
Slot Secondary
ID 29140
EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_TKB.wav
Size_X 4
Size_Y 2
Size_Z 0.37
Use_Auto_Stat_Descriptions false
Magazine 33115

Hook_Barrel

Ammo_Min 10
Ammo_Max 30

Semi
Auto
Safety

Attachment_Calibers 3
Attachment_Caliber_0 18906

Magazine_Calibers 1
Magazine_Caliber_0 53322

Unplace 0.1
Replace 0.42

Firerate 3
Action Trigger

Player_Damage 33
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.4

Animal_Damage 80
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.4

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 80

Durability 0.25

Spread_Aim 0.047
Spread_Hip 0.42

Recoil_Min_X -0.2
Recoil_Min_Y 0.9
Recoil_Max_X 0.3
Recoil_Max_Y 1.4

Recover_X 0.6
Recover_Y 0.4

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Range 500
Ballistic_Steps 48
Ballistic_Travel 8
Ballistic_Drop 0.002

Damage_Falloff_Range 0.16
Damage_Falloff_Max_Range 0.5
Damage_Falloff_Multiplier 0.6

Muzzle 19001

Shell 19003

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Gunshot_Rolloff_Distance 700

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 0.7

Spread_Prone 1
Spread_Crouch 1


Quality_Min 50
Quality_Max 50
