GUID fd0396cd169c421092e6fdbb870b7c5d

Type Magazine
Rarity Rare
ID 60030

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Magazines/PS_HMG_Box

Size_X 2
Size_Y 2
Size_Z 0.395

Amount 75
Count_Min 15
Count_Max 35

Calibers 1
Caliber_0 10029

Tracer 19084

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10030
Blueprint_1_Build 30

Blueprint_2_Type Tool
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 19542
Blueprint_2_Supply_0_Amount 8
Blueprint_2_Outputs 1
Blueprint_2_Output_0_ID 10030
Blueprint_2_Output_0_Amount 1
Blueprint_2_Tool 19374
Blueprint_2_Build 27

Use_Auto_Icon_Measurements False

Range 5
Player_Damage 0
Zombie_Damage 8
Animal_Damage 8
Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 5
Resource_Damage 50
Object_Damage 15
Explosion 19019
Explosive
