// This file was generated in Demo build of BowieD's AssetEditor 0.0.16-alpha.6
Message_0_Page_0 Heir to barter soem goods??
Response_0 Police Truck - Fishing Lounge
Response_1 Complete Police Truck - Fishing Lounge
Response_2 Police Truck - Fishing Lounge
Response_3 Minsk Motobike - Fishing Lounge
Response_4 Complete Minsk Motobike - Fishing Lounge
Response_5 Minsk Motobike - Fishing Lounge
Response_6 BRDM-2 - Fishing Lounge
Response_7 Complete BRDM-2 - Fishing Lounge
Response_8 BRDM-2 - Fishing Lounge
Response_9 HAYLEX-85 Technical - Fishing Lounge
Response_10 Complete HAYLEX-85 Technical - Fishing Lounge
Response_11 HAYLEX-85 Technical - Fishing Lounge
Response_12 URAL Gradik - Fishing Lounge
Response_13 Complete URAL Gradik - Fishing Lounge
Response_14 URAL Gradik - Fishing Lounge
Response_15 ZUK-15 POCO - Fishing Lounge
Response_16 Complete ZUK-15 POCO - Fishing Lounge
Response_17 ZUK-15 POCO - Fishing Lounge
Response_18 M11 Bruno - Fishing Lounge
Response_19 Complete M11 Bruno - Fishing Lounge
Response_20 M11 Bruno - Fishing Lounge
Response_21 HH-6 HMG-Launch - Fishing Lounge
Response_22 Complete HH-6 HMG-Launch - Fishing Lounge
Response_23 HH-6 HMG-Launch - Fishing Lounge
Response_24 Return.
