GUID 8ad1b204f6944c61bfe70b44bb16a28b
Type Vest
Rarity Common
Useable Clothing
ID 37382

Size_X 3
Size_Y 4
Size_Z 0.7

Width 4
Height 4

Armor 0.5
Armor_Explosion 0.71
Movement_Speed_Multiplier 0.87

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 37355
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Blueprint_1_State_Transfer
Blueprint_1_Type Apparel
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 37382
Blueprint_1_Outputs 2
Blueprint_1_Output_0_ID 37335
Blueprint_1_Output_1_ID 37381
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Source 37382
Action_0_Blueprints 0
Action_0_Blueprint_0_Index 1
Action_0_Text Remove Rig
Action_0_Tooltip Seperating rig from body armor.
