GUID 0b2cba2bbd724713928ce3e47032a2d8

Type Small
Has_Clip_Prefab false
ID 58037

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 4
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 57306
Interactability_Reward_0_Value 0
Interactability_Reward_0_Modification Assign

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 57307
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 57308
Interactability_Reward_2_Value 0
Interactability_Reward_2_Modification Assign

Interactability_Reward_3_Type Flag_Short
Interactability_Reward_3_ID 57312
Interactability_Reward_3_Value 0
Interactability_Reward_3_Modification Assign


Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 57308
Condition_0_Value 0
Condition_0_Logic Not_Equal
Condition_0_Allow_Unset



Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Objects/Quest/NPC/Bank/Metro_Lose_0
