GUID 0ccd754a7dd94f399d6a346328a6ea66
Type Melee
Rarity Rare
Useable Melee
Slot Any
ID 59854

Size_X 1
Size_Y 3
Size_Z 0.78

Range 2.25
BladeID 2
Strength 1.5
Weak 0.5
Strong 0.47
Stamina 20

Player_Damage 47
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 90
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.5

Animal_Damage 90
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.5

Barricade_Damage 80
Structure_Damage 80
Vehicle_Damage 80
Resource_Damage 25
Object_Damage 111

Quality_Min 100

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59000
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Use_Auto_Icon_Measurements False
