// This file was generated in Demo build of BowieD's AssetEditor 0.0.16-alpha.6
Message_0_Page_0 Heir to barter soem goods??
Response_0 Police Truck - West Side
Response_1 Complete Police Truck - West Side
Response_2 Police Truck - West Side
Response_3 Minsk Motobike - West Side
Response_4 Complete Minsk Motobike - West Side
Response_5 Minsk Motobike - West Side
Response_6 BRDM-2 - West Side
Response_7 Complete BRDM-2 - West Side
Response_8 BRDM-2 - West Side
Response_9 HAYLEX-85 Technical - West Side
Response_10 Complete HAYLEX-85 Technical - West Side
Response_11 HAYLEX-85 Technical - West Side
Response_12 URAL Gradik - West Side
Response_13 Complete URAL Gradik - West Side
Response_14 URAL Gradik - West Side
Response_15 ZUK-15 POCO - West Side
Response_16 Complete ZUK-15 POCO - West Side
Response_17 ZUK-15 POCO - West Side
Response_18 M11 Bruno - West Side
Response_19 Complete M11 Bruno - West Side
Response_20 M11 Bruno - West Side
Response_21 HH-6 HMG-Launch - West Side
Response_22 Complete HH-6 HMG-Launch - West Side
Response_23 HH-6 HMG-Launch - West Side
Response_24 Return.
