GUID 366a3862624044ee9d463000145fe820
Type Gun
Rarity Rare
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Primary
ID 30117

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Shotgun.wav
Use_Auto_Stat_Descriptions false

Size_X 5
Size_Y 2
Size_Z 0.35

Magazine 33126

Ammo_Min 1
Ammo_Max 8

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 63544

BladeIDs 2
BladeID_0 0
BladeID_1 2

Muzzle 30042

Blueprints 1

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Shell 30001

////////////////////////////////////////Balance Stats

Range 100
Ballistic_Steps 10
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 200



Firerate 30
Action Pump

Player_Damage 15
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.2

Zombie_Damage 22
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.2

Animal_Damage 22
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.2

Barricade_Damage 6
Structure_Damage 6
Vehicle_Damage 3
Resource_Damage 6
Object_Damage 10

Durability 0.1

Recoil_Min_X -4.8
Recoil_Min_Y 20
Recoil_Max_X 4.8
Recoil_Max_Y 40

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X 0.01
Shake_Min_Y -0.05
Shake_Min_Z 0
Shake_Max_X 0.1
Shake_Max_Y 0.1
Shake_Max_Z -0.01

Recoil_Midair 1
Spread_Aim 0.25
Spread_Hip 0.03
Spread_Midair 1
