GUID da6ccd170c104bf8a9fd0880c5eab0dd
Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 51238
Instantiated_Item_Name_Override 51237

Size_X 5
Size_Y 2
Size_Z 0.35

Alert_Radius 0

Magazine 51908

Hook_Barrel
Hook_Sight

Hook_Tactical
Shell 51051

Ammo_Min 10
Ammo_Max 20

Semi

Sight 51385

Caliber 51005

Range 400
Firerate 2
Action Trigger

Player_Damage 40
Player_Leg_Multiplier .75
Player_Arm_Multiplier .75
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.3

Zombie_Damage 125
Zombie_Leg_Multiplier 0.75
Zombie_Arm_Multiplier 0.75
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 2.5

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 10
Structure_Damage 5
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 100


Durability 0
Quality_Min 100
Quality_Max 100

Aim_In_Duration 0.15

Recoil_Min_X 4
Recoil_Max_X -4

Recoil_Min_Y 4
Recoil_Max_Y 5

Spread_Aim 0.01
Spread_Hip 0.2

Remove 0
Replace 0

Recover_X 0.1
Recover_Y 1

Shake_Min_X .01
Shake_Min_Y 0
Shake_Min_Z -.1
Shake_Max_X -.01
Shake_Max_Y 0
Shake_Max_Z -.1.3

Muzzle 0

Blueprints 1

Blueprint_0_Type Repair
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

Gunshot_Rolloff_Distance 256
