GUID 33af6ef1a4994d93a1f7d46a741e32a3

Type Gun
Rarity Rare
Useable Gun
Slot Tertiary
ID 53641

Size_X 1
Size_Y 2
Size_Z 0.3

Magazine 63541

Ammo_Min 20
Ammo_Max 20

Auto

Caliber 55500

Allow_Magazine_Change False

Range 0
Firerate 3
Action Rocket

Explosion 0

Gunshot_Rolloff_Distance 15

Player_Damage 0
Zombie_Damage 0
Animal_Damage 0
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0
Projectile_Explosion_Launch_Speed 0
Projectile_Lifespan 0.1

Durability 0

Spread_Aim 0.3
Spread_Hip 0.15

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 0
Recover_Y 0

Shake_Min_X 0
Shake_Min_Y 0
Shake_Min_Z 0
Shake_Max_X 0
Shake_Max_Y 0
Shake_Max_Z 0

Silenced

Zoom_Using_Eyes True

Muzzle 34901
