GUID 9d857c12a98e404aa3709229bad44c87
Type Medium
ID 45380

Interactability Quest
Interactability_Effect 7
Interactability_Conditions 1
Interactability_Condition_0_Type Currency
Interactability_Condition_0_Value 6
Interactability_Condition_0_GUID fb2b14af67b641fbbd062f8fbc40b288
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Condition_0_Reset
Interactability_Rewards 1
Interactability_Reward_0_Type Item
Interactability_Reward_0_ID 45240
Interactability_Reward_0_Amount 1
