GUID 39ef470ea24940e6ae4d408464bd76ab

Type Medium
Has_Clip_Prefab false
ID 57484

Interactability_Conditions 1
Interactability_Condition_0_Type Flag_Short
Interactability_Condition_0_ID 57014
Interactability_Condition_0_Value 4
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To

Interactability Binary_State
Interactability_Delay 2
Interactability_Hint Use

//Hello, what are you doing here?
//Do you play Unturned?
//We should get to know eachother!
//https://store.steampowered.com/itemstore/304930/detail/21045/
//Please.
