// Made in NPC Maker by BowieD
GUID b1399b461fe64fa2bdb3fc5a52378834
Type Vendor
ID 13036
Selling 63
Selling_0_ID 59187
Selling_0_Cost 4500
Selling_1_ID 59188
Selling_1_Cost 4500
Selling_2_ID 59189
Selling_2_Cost 4500
Selling_3_ID 59190
Selling_3_Cost 4500
Selling_4_ID 59191
Selling_4_Cost 4500
Selling_5_ID 59149
Selling_5_Cost 4500
Selling_6_ID 59093
Selling_6_Cost 4500
Selling_7_ID 59074
Selling_7_Cost 6500
Selling_7_Conditions 1
Selling_7_Condition_0_Type Quest
Selling_7_Condition_0_ID 14060
Selling_7_Condition_0_Status Completed
Selling_7_Condition_0_Logic Equal
Selling_7_Condition_0_Ignore_NPC False

Selling_8_ID 59081
Selling_8_Cost 4500
Selling_9_ID 59082
Selling_9_Cost 4500
Selling_10_ID 59084
Selling_10_Cost 4500
Selling_11_ID 59184
Selling_11_Cost 4500
Selling_12_ID 59744
Selling_12_Cost 4500
Selling_13_ID 54000
Selling_13_Cost 4500
Selling_14_ID 59067
Selling_14_Cost 3000
Selling_15_ID 59068
Selling_15_Cost 3000
Selling_16_ID 59069
Selling_16_Cost 3000
Selling_17_ID 59183
Selling_17_Cost 3000
Selling_18_ID 59159
Selling_18_Cost 3000
Selling_19_ID 59160
Selling_19_Cost 3000
Selling_20_ID 59064
Selling_20_Cost 3000
Selling_21_ID 59065
Selling_21_Cost 3000
Selling_22_ID 59066
Selling_22_Cost 3000
Selling_23_ID 59536
Selling_23_Cost 3000
Selling_24_ID 59073
Selling_24_Cost 7000
Selling_24_Conditions 1
Selling_24_Condition_0_Type Quest
Selling_24_Condition_0_ID 14060
Selling_24_Condition_0_Status Completed
Selling_24_Condition_0_Logic Equal
Selling_24_Condition_0_Ignore_NPC False

Selling_25_ID 59075
Selling_25_Cost 7000
Selling_25_Conditions 1
Selling_25_Condition_0_Type Quest
Selling_25_Condition_0_ID 14060
Selling_25_Condition_0_Status Completed
Selling_25_Condition_0_Logic Equal
Selling_25_Condition_0_Ignore_NPC False

Selling_26_ID 59525
Selling_26_Cost 7000
Selling_26_Conditions 1
Selling_26_Condition_0_Type Quest
Selling_26_Condition_0_ID 14060
Selling_26_Condition_0_Status Completed
Selling_26_Condition_0_Logic Equal
Selling_26_Condition_0_Ignore_NPC False

Selling_27_ID 59629
Selling_27_Cost 4500
Selling_27_Conditions 1
Selling_27_Condition_0_Type Quest
Selling_27_Condition_0_ID 14060
Selling_27_Condition_0_Status Completed
Selling_27_Condition_0_Logic Equal
Selling_27_Condition_0_Ignore_NPC False

Selling_28_ID 36935
Selling_28_Cost 7000
Selling_28_Conditions 1
Selling_28_Condition_0_Type Quest
Selling_28_Condition_0_ID 14060
Selling_28_Condition_0_Status Completed
Selling_28_Condition_0_Logic Equal
Selling_28_Condition_0_Ignore_NPC False

Selling_29_ID 36936
Selling_29_Cost 7000
Selling_29_Conditions 1
Selling_29_Condition_0_Type Quest
Selling_29_Condition_0_ID 14060
Selling_29_Condition_0_Status Completed
Selling_29_Condition_0_Logic Equal
Selling_29_Condition_0_Ignore_NPC False

Selling_30_ID 36934
Selling_30_Cost 7000
Selling_30_Conditions 1
Selling_30_Condition_0_Type Quest
Selling_30_Condition_0_ID 14060
Selling_30_Condition_0_Status Completed
Selling_30_Condition_0_Logic Equal
Selling_30_Condition_0_Ignore_NPC False

Selling_31_ID 54003
Selling_31_Cost 7000
Selling_31_Conditions 1
Selling_31_Condition_0_Type Quest
Selling_31_Condition_0_ID 14060
Selling_31_Condition_0_Status Completed
Selling_31_Condition_0_Logic Equal
Selling_31_Condition_0_Ignore_NPC False

Selling_32_ID 54004
Selling_32_Cost 7000
Selling_32_Conditions 1
Selling_32_Condition_0_Type Quest
Selling_32_Condition_0_ID 14060
Selling_32_Condition_0_Status Completed
Selling_32_Condition_0_Logic Equal
Selling_32_Condition_0_Ignore_NPC False

Selling_33_ID 54005
Selling_33_Cost 7000
Selling_33_Conditions 1
Selling_33_Condition_0_Type Quest
Selling_33_Condition_0_ID 14060
Selling_33_Condition_0_Status Completed
Selling_33_Condition_0_Logic Equal
Selling_33_Condition_0_Ignore_NPC False

Selling_34_ID 54006
Selling_34_Cost 7000
Selling_34_Conditions 1
Selling_34_Condition_0_Type Quest
Selling_34_Condition_0_ID 14060
Selling_34_Condition_0_Status Completed
Selling_34_Condition_0_Logic Equal
Selling_34_Condition_0_Ignore_NPC False

Selling_35_ID 54007
Selling_35_Cost 7000
Selling_35_Conditions 1
Selling_35_Condition_0_Type Quest
Selling_35_Condition_0_ID 14060
Selling_35_Condition_0_Status Completed
Selling_35_Condition_0_Logic Equal
Selling_35_Condition_0_Ignore_NPC False

Selling_36_ID 54008
Selling_36_Cost 7000
Selling_36_Conditions 1
Selling_36_Condition_0_Type Quest
Selling_36_Condition_0_ID 14060
Selling_36_Condition_0_Status Completed
Selling_36_Condition_0_Logic Equal
Selling_36_Condition_0_Ignore_NPC False

Selling_37_ID 54009
Selling_37_Cost 7000
Selling_37_Conditions 1
Selling_37_Condition_0_Type Quest
Selling_37_Condition_0_ID 14060
Selling_37_Condition_0_Status Completed
Selling_37_Condition_0_Logic Equal
Selling_37_Condition_0_Ignore_NPC False

Selling_38_ID 54010
Selling_38_Cost 7000
Selling_38_Conditions 1
Selling_38_Condition_0_Type Quest
Selling_38_Condition_0_ID 14060
Selling_38_Condition_0_Status Completed
Selling_38_Condition_0_Logic Equal
Selling_38_Condition_0_Ignore_NPC False

Selling_39_ID 54011
Selling_39_Cost 7000
Selling_39_Conditions 1
Selling_39_Condition_0_Type Quest
Selling_39_Condition_0_ID 14060
Selling_39_Condition_0_Status Completed
Selling_39_Condition_0_Logic Equal
Selling_39_Condition_0_Ignore_NPC False

Selling_40_ID 54012
Selling_40_Cost 7000
Selling_40_Conditions 1
Selling_40_Condition_0_Type Quest
Selling_40_Condition_0_ID 14060
Selling_40_Condition_0_Status Completed
Selling_40_Condition_0_Logic Equal
Selling_40_Condition_0_Ignore_NPC False

Selling_41_ID 54013
Selling_41_Cost 7000
Selling_41_Conditions 1
Selling_41_Condition_0_Type Quest
Selling_41_Condition_0_ID 14060
Selling_41_Condition_0_Status Completed
Selling_41_Condition_0_Logic Equal
Selling_41_Condition_0_Ignore_NPC False

Selling_42_ID 54014
Selling_42_Cost 7000
Selling_42_Conditions 1
Selling_42_Condition_0_Type Quest
Selling_42_Condition_0_ID 14060
Selling_42_Condition_0_Status Completed
Selling_42_Condition_0_Logic Equal
Selling_42_Condition_0_Ignore_NPC False

Selling_43_ID 36920
Selling_43_Cost 8500
Selling_43_Conditions 1
Selling_43_Condition_0_Type Quest
Selling_43_Condition_0_ID 14057
Selling_43_Condition_0_Status Completed
Selling_43_Condition_0_Logic Equal
Selling_43_Condition_0_Ignore_NPC False

Selling_44_ID 36921
Selling_44_Cost 8500
Selling_44_Conditions 1
Selling_44_Condition_0_Type Quest
Selling_44_Condition_0_ID 14057
Selling_44_Condition_0_Status Completed
Selling_44_Condition_0_Logic Equal
Selling_44_Condition_0_Ignore_NPC False

Selling_45_ID 54059
Selling_45_Cost 8000
Selling_45_Conditions 1
