GUID 4be020e1c48b442394bd3c84708770da

Type Food
Useable Consumeable
Rarity Uncommon
ID 41637

Size_X 2
Size_Y 1
Size_Z 0.17

Food 40
Use_Auto_Stat_Descriptions false
InventoryAudio Sounds/Inventory/BagRustle/Bag_Rustle.asset
ConsumeAudioClip Sounds/Eating_1.ogg
Quality_Min 30
Quality_Max 50

Quest_Rewards 4
Quest_Reward_0_Type Player_Life_Stamina
Quest_Reward_0_Value 10
Quest_Reward_0_GrantDelaySeconds 0.5

Quest_Reward_1_Type Player_Life_Stamina
Quest_Reward_1_Value 10
Quest_Reward_1_GrantDelaySeconds 1.5

Quest_Reward_2_Type Player_Life_Stamina
Quest_Reward_2_Value 10
Quest_Reward_2_GrantDelaySeconds 2.5

Quest_Reward_3_Type Player_Life_Water
Quest_Reward_3_Value -20
