GUID 1606f84c85d64cb08b4f7604fcd26494
Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 51245

Instantiated_Item_Name_Override 51227

Size_X 2
Size_Y 2
Size_Z 0.35

Alert_Radius 0

Magazine 51039

Shell 51051

Ammo_Min 4
Ammo_Max 8

Semi

Hook_Barrel


Caliber 51002

Range 400
Firerate 8
Action Trigger

Player_Damage 32
Player_Leg_Multiplier .75
Player_Arm_Multiplier .75
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.25

Zombie_Damage 99
Zombie_Leg_Multiplier 0.35
Zombie_Arm_Multiplier 0.35
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.2

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 20
Vehicle_Damage 30
Resource_Damage 20
Object_Damage 25

Durability 0
Quality_Min 100
Quality_Max 100

Aim_In_Duration 0.15

Recoil_Min_X 2
Recoil_Max_X -2

Recoil_Min_Y 4
Recoil_Max_Y 6

Spread_Aim 0.05
Spread_Hip 0.2

Remove 0
Replace 0

Recover_X 0.1
Recover_Y -.02

Shake_Min_X .01
Shake_Min_Y 0
Shake_Min_Z -.1
Shake_Max_X -.01
Shake_Max_Y 0
Shake_Max_Z -.13

Muzzle 0

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 51245
Blueprint_0_Outputs 2
Blueprint_0_Output_0_ID 51244
Blueprint_0_Output_0_Amount 1
Blueprint_0_Output_1_ID 51918
Blueprint_0_Output_1_Amount 1
Blueprint_0_State_Transfer
Blueprint_0_Build 27
Blueprint_1_Type Repair
Blueprint_1_Supply_0_ID 51035
Blueprint_1_Supply_0_Amount 3
Blueprint_1_Build 27

Actions 1
Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Unsuppress »
Action_0_Tooltip Remove the baffle kit from this weapon.

Shoot_Quest_Rewards 1
Shoot_Quest_Reward_0_Type Rewards_List_Asset
Shoot_Quest_Reward_0_GUID ae7724167039492fb3bd8aeef222fcfa

Gunshot_Rolloff_Distance 256
