GUID 83324ee6184d42e792fbf5cdc733bbd4

Type Gun
Rarity Rare
Useable Gun
Slot Any
ID 44063

Size_X 3
Size_Y 2
Size_Z 0.425
Size2_Z 0.55

Magazine 44009

Ammo_Min 40
Ammo_Max 40

Semi
Auto

Caliber 44001

Range 500
Firerate 5
Action Trigger

Player_Damage 40
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 500
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1

Animal_Damage 400
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1

Barricade_Damage 40
Structure_Damage 40
Vehicle_Damage 40
Resource_Damage 20
Object_Damage 25

Spread_Aim 0.1
Spread_Hip 0.175

Recoil_Min_X -2
Recoil_Min_Y 5
Recoil_Max_X 2
Recoil_Max_Y 6

Recover_X 0.8
Recover_Y 0.8

Shake_Min_X -0.001
Shake_Min_Y 0.001
Shake_Min_Z -0.05
Shake_Max_X 0.001
Shake_Max_Y -0.001
Shake_Max_Z -0.06

Muzzle 3

Invulnerable

Can_Aim_During_Sprint True

Asset_Bundle_Version 2
