GUID 0e235f630f82454c82bc5d66e18f950f

Type Barricade
Has_Clip_Prefab false
Useable Barricade
Build Barricade
ID 57663

Size_X 1
Size_Y 1
Size_Z 0.24

Health 50
Range 4
Radius 0.15
Offset 0.2

Explosion 19
Vulnerable

Blueprints 2
Blueprint_0_Type Furniture
Blueprint_0_Supplies 2
Blueprint_0_Supply_0_ID 57187 
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_1_ID 57580 
Blueprint_0_Supply_1_Amount 1
Blueprint_0_Supply_1_Critical
Blueprint_0_Products 2
Blueprint_0_Build 27
Blueprint_0_Map Elver

Blueprint_1_Type Furniture
Blueprint_1_Supply_0_ID 57662 
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Products 2
Blueprint_1_Build 27
Blueprint_1_Map Elver

Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Items/Buildables/Metro_Planter_Baby
