GUID 98c2b75957e346cd82a846316a0b42f0
Type Melee
Useable Melee
Slot Any
ID 51266

Size_X 1
Size_Y 2
Size_Z 0.3
Size2_Z 0.3

Range 2
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 10

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 2
Structure_Damage 2
Vehicle_Damage 15
Resource_Damage 25
Object_Damage 15

Light

Durability 0

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 51266
Blueprint_0_Product 51017
Blueprint_0_Products 2
Blueprint_0_Build 27

Blueprint_1_Type Repair
Blueprint_1_Supply_0_ID 51017
Blueprint_1_Supply_0_Amount 2
Blueprint_1_Build 27

AttackAudioClip Sounds/Big_Swing.mp3
