GUID c4e19f27555d4c2cb4de3d93e965549e

Type Magazine
Rarity Epic
ID 63311

Size_X 2
Size_Y 2
Size_Z 0.275

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Magazines/Magazines/Hypervelocity_Ammo/PS_Hypervelocity_Box

Amount 40
Count_Min 5
Count_Max 40

Calibers 1
Caliber_0 19999

Tracer 19002

Blueprints 3
Blueprint_0_Type Ammo
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 63311
Blueprint_0_Build 30
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 63316
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supplies 1
Blueprint_2_Supply_0_ID 33131
Blueprint_2_Build 30
