GUID ce51eb62dc8440ddae7baad87cfe8260
Type Small
ID 38893

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 38802
Condition_0_Value True
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 38803
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 38802	
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Bool
Interactability_Reward_1_ID 38803	
Interactability_Reward_1_Value True
