GUID 3bb3c1a0c0c34c0ca5e6506d43bda110

Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 29150
EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Shotgun.wav
Size_X 5
Size_Y 2
Size_Z 0.35
Use_Auto_Stat_Descriptions false
Magazine 32273
Caliber 63546
Ammo_Min 1
Ammo_Max 4
Aim_In_Duration 0.3
Safety
Semi


Range 60
Firerate 40
Action Pump

Damage_Falloff_Range 0.07
Damage_Falloff_Multiplier 0.1

Player_Damage 20
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.33
Player_Spine_Multiplier 1.0
Player_Skull_Multiplier 2.0

Zombie_Damage 55
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.3

Animal_Damage 55
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.4

Barricade_Damage 28
Structure_Damage 20
Vehicle_Damage 10
Resource_Damage 30
Object_Damage 20

Durability 0.1

Spread_Aim 0.25
Spread_Hip 0.0275

Recoil_Min_X -5
Recoil_Min_Y 24
Recoil_Max_X 4
Recoil_Max_Y 40

Recover_X 0.6
Recover_Y 0.6
Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
Shake_Min_X 0.025
Shake_Min_Y 0.05
Shake_Min_Z -0.25
Shake_Max_X 0.2
Shake_Max_Y 0.2
Shake_Max_Z -0.1

Muzzle 19066
Shell 10500
