GUID 380ad74ce40b423c850a89c2d2cbf348

Type Melee
Rarity Rare
Useable Melee
Slot Any
ID 36038

Size_X 3
Size_Y 2

Range 3
Alert_Radius 24

BladeIDs 2
BladeID_0 36
BladeID_1 0

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 3
Structure_Damage 3
Vehicle_Damage 10
Resource_Damage 50
Object_Damage 50

Durability 0

Repeated

AttackAudioClip core.masterbundle:/Items/Melee/Chainsaw/Use.mp3
