GUID a6f60df94faa463b922e8d0e06d21b04
Type Magazine
Rarity Epic
ID 10033

Size_X 2
Size_Y 2
Size_Z 0.395

Amount 50
Count_Min 15
Count_Max 35

Calibers 1
Caliber_0 10029

Tracer 19087

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10033
Blueprint_1_Build 30

Use_Auto_Icon_Measurements False

Ballistic_Damage_Multiplier 1.5

Range 4
Player_Damage 20
Zombie_Damage 20
Animal_Damage 20
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 85
Resource_Damage 20
Object_Damage 20
Explosion 19059
Explosive
