GUID 50ac470991f2419d8507dab0d15a4b25
Type Magazine
Rarity Legendary
ID 51332

Size_X 2
Size_Y 2
Size_Z 0.1

Amount 1
Count_Min 1
Count_Max 1

Spawn_Explosion_On_Dedicated_Server True

Calibers 1
Caliber_0 51050

Tracer 55

Range 3
Player_Damage 0
Zombie_Damage 0
Animal_Damage 0
Barricade_Damage 0
Structure_Damage 0
Vehicle_Damage 0
Resource_Damage 0
Object_Damage 0
Explosion 51093
Explosive

Use_Auto_Stat_Descriptions False

Delete_Empty

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 4
// Blank Strike
Blueprint_0_Supply_0_ID 51329
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Supply_0_Critical
// Mortars
Blueprint_0_Supply_1_ID 51317
Blueprint_0_Supply_1_Amount 4
// Adhesive
Blueprint_0_Supply_2_ID 51061
Blueprint_0_Supply_2_Amount 1
// Nitro
Blueprint_0_Supply_3_ID 51307
Blueprint_0_Supply_3_Amount 2
Blueprint_0_Product 51332
Blueprint_0_Build 27
