GUID f6e633a38d41413d8f8091cd5689cb5f
Type Shirt
Rarity Uncommon
Useable Clothing
ID 26603

Size_X 3
Size_Y 2
Size_Z 0.6

Width 3
Height 2

Actions 2
Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Text Change color - Blue
Action_0_Tooltip Changes tracksuit color to blue

Action_1_Type Blueprint
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 1
Action_1_Text Change color - Green
Action_1_Tooltip Changes tracksuit color to green

Blueprints 2
//craft tracksuit blue
Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 26603
Blueprint_0_Build 27
Blueprint_0_Outputs 1
Blueprint_0_Output_0_ID 26602
Blueprint_0_Output_0_Amount 1

//check if can craft tracksuit blue
Blueprint_0_Conditions 1
Blueprint_0_Condition_0_Type Flag_Bool
Blueprint_0_Condition_0_ID 26670  
Blueprint_0_Condition_0_Value True
Blueprint_0_Condition_0_Logic Equal

//craft tracksuit green
Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 26603
Blueprint_1_Build 27
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 26601
Blueprint_1_Output_0_Amount 1

//check if can craft tracksuit green
Blueprint_1_Conditions 1
Blueprint_1_Condition_0_Type Flag_Bool
Blueprint_1_Condition_0_ID 26670  
Blueprint_1_Condition_0_Value True
Blueprint_1_Condition_0_Logic Equal

Should_Drop_On_Death false
