GUID 5330c87cd19543dcbb8f109e16bacff0


Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 63829
EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AK.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Assault_Rifles/PS_Kalakov_1

Size_X 3
Size_Y 2
Size_Z 0.5

Sight 19261
Magazine 63315
Grip 19752

Ammo_Min 10
Ammo_Max 30


Auto
Semi

Hook_Sight
Hook_Tactical

Attachment_Calibers 2
Attachment_Caliber_0 18904
Attachment_Caliber_1 18906


Magazine_Calibers 2
Magazine_Caliber_0 19315
Magazine_Caliber_1 19316

Firerate 4
Action Trigger

Player_Damage 32
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.1

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 90

Durability 0.05

Spread_Aim 0.033
Spread_Hip 0.3

Recoil_Min_X -0.2
Recoil_Min_Y 1.8
Recoil_Max_X 1
Recoil_Max_Y 2

Recover_X 0.3
Recover_Y 0.4

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02


Range 160
Ballistic_Steps 26
Ballistic_Travel 8
Ballistic_Drop 0.0014

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.45
Damage_Falloff_Multiplier 0.6

Muzzle 19026

Shell 19004

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18398
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Gunshot_Rolloff_Distance 600

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.7
Recoil_Prone 0.7

Spread_Prone 0.8
Spread_Crouch 0.8

Quality_Min 50
Quality_Max 50
