GUID 8044db3fba5b47fda462df0faad74186
Type Melee
Useable Melee
ID 59181
Slot Any

Size_X 1
Size_Y 3
Size_Z 0.6

Range 2
Strong 0.375
Strength 1.5
Stamina 20

Player_Damage 28
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 28
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.1

Animal_Damage 34
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 8
Structure_Damage 8
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Quality_Min 100

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59000
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
