GUID ebec4240024e4d3f9cd1383d995dab5e


Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 19966
Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Special/PS_Nailgun_1
Unplace 0.3
Replace 0.7

Size_X 3
Size_Y 2
Size_Z 0.33

Magazine 21955
Barrel 19954

Hook_Sight

Ammo_Min 11
Ammo_Max 30

Safety
Semi
Auto

Magazine_Calibers 1
Magazine_Caliber_0 18836

Attachment_Calibers 1
//Scope
Attachment_Caliber_0 18904

Muzzle 19022

BladeID 2

Use_Auto_Icon_Measurements False

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 75

Blueprints 1

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27


////////////////////////////////////////Balance Stats

Range 100
Ballistic_Steps 10
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 200

Aim_In_Duration 0.2

Firerate 3
Action Trigger

Player_Damage 22
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.3

Zombie_Damage 54
Zombie_Leg_Multiplier 1
Zombie_Arm_Multiplier 1
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.9

Animal_Damage 34
Animal_Leg_Multiplier 1
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.9

Barricade_Damage 12
Structure_Damage 12
Vehicle_Damage 12
Resource_Damage 24
Object_Damage 24

Durability 0.5

Recoil_Min_X -0.05
Recoil_Min_Y 0.9
Recoil_Max_X 0.05
Recoil_Max_Y 1.2

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X -0.001
Shake_Min_Y -0.0006
Shake_Min_Z 0
Shake_Max_X 0.001
Shake_Max_Y 0.001
Shake_Max_Z 0

Recoil_Crouch 1.1
Recoil_Prone 2.5
Recoil_Midair 3

Spread_Aim 0.013
Spread_Hip 0.026
Spread_Prone 0.5
Spread_Crouch 0.9
Spread_Midair 3



