GUID 397a17d74c0449a3a9ef38ce35ac11ad

Type Gun
Rarity Uncommon
Useable Gun
Slot Primary
ID 17027

Size_X 4
Size_Y 2
Size_Z 0.3

Magazine 17028

Ammo_Min 18
Ammo_Max 25

Auto
Semi

Caliber 17104

Range 160
Firerate 5
Action Trigger

Player_Damage 43
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.3

Zombie_Damage 80
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.4

Animal_Damage 50
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.4

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 80

Durability 0.2

Aim_In_Duration 0.3
Spread_Aim 0.1
Spread_Hip 0.2

Recoil_Min_X -1
Recoil_Min_Y 2
Recoil_Max_X 1.5
Recoil_Max_Y 3.2

Recover_X 0.6
Recover_Y 0.4

Shake_Min_X -0.004
Shake_Min_Y -0.003
Shake_Min_Z -0.01
Shake_Max_X 0.004
Shake_Max_Y -0.003
Shake_Max_Z -0.01

Recoil_Crouch 1
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Muzzle 19001

Shell 17006

Quality_Min 100
Quality_Max 100

Use_Auto_Icon_Measurements True

Use_Auto_Stat_Descriptions false

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

Unplace 0.2
Replace 0.70
