GUID 0df13dafc549474899a8d1d5fd497789
Type Small
ID 51000

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 52555
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset
Condition_1_Type Quest
Condition_1_ID 52583
Condition_1_Status Active
Condition_1_Logic Equal

Interactability Quest
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 52555
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 52584
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment

Has_Clip_Prefab false

Master_Bundle_Override pbs.masterbundle
Bundle_Override_Path /Objects/Small/EODStuffs/ChargePlantHolo
