GUID af874754d2354fe8a28546ab94c53c2d

Type Gun
Rarity Legendary
Useable Gun
Slot Primary
ID 64612

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AUG.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Assault_Rifles/PS_Auger_Mod


Size_X 4
Size_Y 2
Size_Z 0.35

Magazine 19260
Sight 10595

Aim_In_Duration 0.25

Hook_Sight
Hook_Barrel
Hook_Grip
Hook_Tactical

Ammo_Min 10
Ammo_Max 30

Safety
Auto
Semi

Attachment_Calibers 6
Attachment_Caliber_0 18904
Attachment_Caliber_1 18902
Attachment_Caliber_2 10516
Attachment_Caliber_3 10671
Attachment_Caliber_4 12000
Attachment_Caliber_5 10670

Magazine_Calibers 1
Magazine_Caliber_0 19260

Unplace 0.1
Replace 0.42

Firerate 6
Action Trigger

Player_Damage 34
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 10
Resource_Damage 80
Object_Damage 80

Durability 0.12

Spread_Aim 0.04
Spread_Hip 0.13

Recoil_Min_X -1
Recoil_Min_Y 2.95
Recoil_Max_X 1
Recoil_Max_Y 3.75

Recover_X 0.35
Recover_Y 0.15

Range 400
Ballistic_Steps 50
Ballistic_Travel 8
Ballistic_Drop 0.001

Damage_Falloff_Range 0.16
Damage_Falloff_Max_Range 0.5
Damage_Falloff_Multiplier 0.6

Shake_Min_X 0.0025
Shake_Min_Y -0.005
Shake_Min_Z -0.01
Shake_Max_X -0.0025
Shake_Max_Y -0.008
Shake_Max_Z -0.02

Muzzle 19001

Shell 19018

Blueprints 3
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10612
Blueprint_1_Product 19262
Blueprint_1_Products 2
Blueprint_1_Tool 19004
Blueprint_1_Build 27

Blueprint_2_Type Tool
Blueprint_2_Supplies 2
Blueprint_2_Supply_0_ID 10611
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Supply_1_ID 19845
Blueprint_2_Supply_1_Amount 2
Blueprint_2_Supply_0_Critical
Blueprint_2_State_Transfer
Blueprint_2_Build 19081

Gunshot_Rolloff_Distance 700

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 50
Quality_Max 50
