GUID 8d119ec79ddd449d926dd91f97d8623f

Type Melee
Rarity Common
Useable Melee
Slot Any
ID 27162

Size_X 2
Size_Y 4
Size_Z 1.04

Range 2.10
Strength 1.5
Stamina 30

Weak 0.444
Strong 0.491

Player_Damage 15
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 15
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 1
Structure_Damage 1
Vehicle_Damage 8
Resource_Damage 1
Object_Damage 10

Durability 0

Blueprints 0
