GUID fae9f762caa64632a1a96df47a767ff4

Type Gun
Rarity Epic
Useable Gun
Slot Primary
ID 10617

Size_X 5
Size_Y 2
Size_Z 0.35

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AUG.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Assault_Rifles/PS_Le_Mas

Magazine 10551

Aim_In_Duration 0.25

Hook_Sight
Hook_Barrel
Hook_Tactical

Ammo_Min 10
Ammo_Max 20

Bursts 3
Semi
Safety

Attachment_Calibers 6
Attachment_Caliber_0 18904
Attachment_Caliber_1 18902
Attachment_Caliber_2 10516
Attachment_Caliber_3 10671
Attachment_Caliber_4 12000
Attachment_Caliber_5 10670

Magazine_Calibers 1
Magazine_Caliber_0 19260

Unplace 0.1
Replace 0.42

Firerate 6
Action Trigger

Player_Damage 33
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.5

Zombie_Damage 90
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 90
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 10
Resource_Damage 80
Object_Damage 80

Durability 0.12

Spread_Aim 0.04
Spread_Hip 0.13

Recoil_Min_X -0.45
Recoil_Min_Y 2.45
Recoil_Max_X 0.45
Recoil_Max_Y 3.15

Recover_X 0.35
Recover_Y 0.15

Range 600
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.001

Damage_Falloff_Range 0.16
Damage_Falloff_Max_Range 0.5
Damage_Falloff_Multiplier 0.6

Shake_Min_X 0.0024
Shake_Min_Y -0.008
Shake_Min_Z -0.01
Shake_Max_X -0.0024
Shake_Max_Y -0.009
Shake_Max_Z -0.015

Muzzle 19001

Shell 19018

Blueprints 2
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10617
Blueprint_1_Product 19262
Blueprint_1_Products 2
Blueprint_1_Tool 19004
Blueprint_1_Build 27


Gunshot_Rolloff_Distance 700

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 50
Quality_Max 50
