GUID 8e215037466b4fe2b2738d5cf28f98b2

Type Magazine
Rarity Epic
ID 63657

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Magazines/Magazines/Frag_Ammo/PS_Zolash_Mag_Frag

Size_X 1
Size_Y 2
Size_Z 0.41

Amount 30
Count_Min 1
Count_Max 14

Calibers 1
Caliber_0 19315

Tracer 19043

Recoil_X 1.3
Recoil_Y 1.3

Spread 1.5

Shake 1.2

Damage 0.9

Range 6
Player_Damage 12
Zombie_Damage 55
Animal_Damage 66
Barricade_Damage 12
Structure_Damage 12
Vehicle_Damage 35
Resource_Damage 222
Object_Damage 25
Explosion 19044
Explosive

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 63999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 63999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supply_0_ID 63657
Blueprint_1_Supplies 1
Blueprint_1_Build 30
Blueprint_2_Type Ammo
Blueprint_2_Supply_0_ID 63944
Blueprint_2_Supplies 1
Blueprint_2_Build 30
