// Made in NPC Maker by BowieD
GUID 2bcf730d0de44b22bb47ac6bde250220
Type Vendor
ID 13007
Buying 17
Buying_0_ID 59171
Buying_0_Cost 70
Buying_1_ID 59639
Buying_1_Cost 80
Buying_2_ID 59170
Buying_2_Cost 30
Buying_3_ID 41624
Buying_3_Cost 70
Buying_4_ID 41620
Buying_4_Cost 70
Buying_5_ID 59810
Buying_5_Cost 100
Buying_6_ID 59608
Buying_6_Cost 80
Buying_7_ID 59356
Buying_7_Cost 150
Buying_8_ID 59355
Buying_8_Cost 120
Buying_9_ID 62868
Buying_9_Cost 100
Buying_10_ID 62172
Buying_10_Cost 130
Buying_11_ID 62863
Buying_11_Cost 90
Buying_12_ID 62864
Buying_12_Cost 180
Buying_13_ID 62872
Buying_13_Cost 190
Buying_14_ID 59638
Buying_14_Cost 70
Buying_15_ID 59172
Buying_15_Cost 70
Buying_16_ID 59174
Buying_16_Cost 50
Selling 5
Selling_0_ID 59170
Selling_0_Cost 90
Selling_1_ID 59174
Selling_1_Cost 130
Selling_2_ID 59175
Selling_2_Cost 70
Selling_3_ID 59639
Selling_3_Cost 180
Selling_4_ID 41620
Selling_4_Cost 110
