GUID 00b677ffffdc4f6899a477b959196be8

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 19802

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_SKS.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Battle_Rifles/PS_Razved_Tac

Size_X 5
Size_Y 2
Size_Z 0.4

Magazine 10540

Tactical 19678

Hook_Sight
Hook_Tactical
Hook_Grip

Ammo_Min 10
Ammo_Max 20

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 18801

Attachment_Calibers 3
//Scope
Attachment_Caliber_0 18911
//Grip
Attachment_Caliber_2 18930
//Tactical
Attachment_Caliber_1 18922

Unplace 0.1
Replace 0.47

Muzzle 19001

Shell 19004

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements True

Quality_Min 50
Quality_Max 50

Blueprints 1

//Repair
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 19659
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27

////////////////////////////////////////Balance Stats

Range 500
Ballistic_Steps 50
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1000


Aim_In_Duration 0.4

Firerate 15
Action Trigger

Player_Damage 45
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.9

Zombie_Damage 90
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.9

Animal_Damage 90
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.9

Barricade_Damage 45
Structure_Damage 45
Vehicle_Damage 45
Resource_Damage 90
Object_Damage 90

Durability 0.15

Recoil_Min_X -2.5
Recoil_Min_Y 20
Recoil_Max_X 2.5
Recoil_Max_Y 21

Recover_X 0.95
Recover_Y 0.95

Shake_Min_X -0.01
Shake_Min_Y -0.03
Shake_Min_Z 0
Shake_Max_X 0.01
Shake_Max_Y -0.04
Shake_Max_Z -0.02

Recoil_Midair 3

Spread_Aim 0.05
Spread_Hip 0.1
Spread_Midair 3

