GUID eb6f0ecf327542958ca4798f1de9740f

Type Gun
Rarity Legendary
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Primary
ID 30506

EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_PKM.wav

Size_X 5
Size_Y 3
Size_Z 0.55

Equipable_Movement_Speed_Multiplier 0.9
Aim_In_Duration 0.7
Aiming_Movement_Speed_Multiplier 0.9

Aiming_Recoil_Multiplier 1
Use_Auto_Icon_Measurements False

Magazine_Calibers 1
Magazine_Caliber_0 19422

Attachment_Calibers 3
Attachment_Caliber_0 18905
Attachment_Caliber_1 18906
Attachment_Caliber_2 20907

Hook_Sight
Hook_Grip

Safety
Auto
Semi

Ammo_Min 0
Ammo_Max 75

Grip 10668
Magazine 63424

Unplace 0.1
Replace 0.47

Muzzle 30037

Shell 30003

BladeIDs 2
BladeID_0 0
BladeID_1 2

Player_Damage_Bleeding Always


////////////////////////////////////////Balance Stats

Range 400
Ballistic_Steps 40
Ballistic_Drop 0.0011
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 800

Firerate 5
Action Trigger

Player_Damage 50
Player_Leg_Multiplier 0.7
Player_Arm_Multiplier 0.7
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.6

Zombie_Damage 95
Zombie_Leg_Multiplier 0.33
Zombie_Arm_Multiplier 0.33
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 2

Animal_Damage 85
Animal_Leg_Multiplier 0.33
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 2

Barricade_Damage 26
Structure_Damage 26
Vehicle_Damage 28
Resource_Damage 85
Object_Damage 32

Durability 0.02

Spread_Aim 0.02
Spread_Hip 0.03

Recoil_Min_X -2
Recoil_Min_Y 3
Recoil_Max_X 2
Recoil_Max_Y 4.5

Recover_X 1
Recover_Y 0.1

Range 600
Ballistic_Steps 75
Ballistic_Travel 15
Ballistic_Drop 0.001

Damage_Falloff_Range 0.2
Damage_Falloff_Max_Range 0.66
Damage_Falloff_Multiplier 0.6

Shake_Min_X 0.004
Shake_Min_Y -0.01
Shake_Min_Z -0.001
Shake_Max_X -0.004
Shake_Max_Y -0.005
Shake_Max_Z -0.013

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 3
Blueprint_0_Build 27

Gunshot_Rolloff_Distance 350


Recoil_Prone 0.35
Spread_Prone 0.035

Recoil_Crouch 0.45
Spread_Crouch 0.45

Player_Damage_Bleeding Always

Quality_Min 5
Quality_Max 15
