GUID 84de61d9af35431780facc6622d7e4ba
Type Medium
ID 45384

Interactability Quest
Interactability_Effect 7
Interactability_Conditions 1
Interactability_Condition_0_Type Currency
Interactability_Condition_0_Value 25
Interactability_Condition_0_GUID fb2b14af67b641fbbd062f8fbc40b288
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Condition_0_Reset
Interactability_Rewards 1
Interactability_Reward_0_Type Item
Interactability_Reward_0_ID 45250
Interactability_Reward_0_Amount 1
