GUID 60bfe6d4c28e412ebdd5ce6558c99008
Type Magazine
Rarity Epic
ID 10032

Size_X 2
Size_Y 2
Size_Z 0.395

Amount 50
Count_Min 15
Count_Max 25

Calibers 1
Caliber_0 10029

Tracer 19086

Blueprints 2
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Blueprint_1_Type Ammo
Blueprint_1_Supplies 1
Blueprint_1_Supply_0_ID 10032
Blueprint_1_Build 30

Use_Auto_Icon_Measurements False

Ballistic_Damage_Multiplier 0.5

Range 6
Player_Damage 45
Zombie_Damage 90
Animal_Damage 90
Barricade_Damage 18
Structure_Damage 24
Vehicle_Damage 45
Resource_Damage 90
Object_Damage 90
Explosion 19044
Explosive

Invulnerable
