GUID 51f68f254bd043b7a1865a8a204fbce2

Type Small
Has_Clip_Prefab false
ID 58035

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 5
Interactability_Reward_0_Type Item
Interactability_Reward_0_ID 57468
Interactability_Reward_0_Amount 1

Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 57306
Interactability_Reward_1_Value 0
Interactability_Reward_1_Modification Assign

Interactability_Reward_2_Type Flag_Short
Interactability_Reward_2_ID 57307
Interactability_Reward_2_Value 0
Interactability_Reward_2_Modification Assign

Interactability_Reward_3_Type Flag_Short
Interactability_Reward_3_ID 57308
Interactability_Reward_3_Value 0
Interactability_Reward_3_Modification Assign

Interactability_Reward_4_Type Flag_Short
Interactability_Reward_4_ID 57312
Interactability_Reward_4_Value 0
Interactability_Reward_4_Modification Assign


Conditions 3
Condition_0_Type Compare_Flags
Condition_0_A_ID 57306
Condition_0_B_ID 57307
Condition_0_Logic Equal
Condition_0_Reset

Condition_1_Type Compare_Flags
Condition_1_A_ID 57307
Condition_1_B_ID 57308
Condition_1_Logic Equal
Condition_1_Reset

Condition_2_Type Compare_Flags
Condition_2_A_ID 57308
Condition_2_B_ID 57309
Condition_2_Logic Equal
Condition_2_Reset

Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Objects/Quest/NPC/Bank/Metro_Win_250
