GUID 15d81d672e3249578770dd593ae5b199

Type Melee
Useable Melee
Slot Any
ID 36086

Size_X 2


Range 2
Strength 1.5
Weak 0.37
Strong 0.37
Stamina 0

BladeIDs 2
BladeID_0 36
BladeID_1 0

Player_Damage 25
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 25
Resource_Damage 25
Object_Damage 25

Durability 0


AttackAudioClip core.masterbundle:Sounds/MeleeAttack_02.mp3
