GUID 2c89f938ba0e4b67bb93eb4a369d4051
Type Backpack
Rarity Uncommon
Useable Clothing
ID 19102

Size_X 2
Size_Y 2
Size_Z 0.6

Width 7
Height 6

Quality_Min 100
Quality_Max 100

Blueprints 4

Blueprint_0_Type Apparel
Blueprint_0_Supply_0_ID 19102
Blueprint_0_Product 19002
Blueprint_0_Products 3
Blueprint_0_Tool 19005
Blueprint_0_Tool_Critical
Blueprint_0_Build 32

Blueprint_1_Type Apparel
Blueprint_1_Supply_0_ID 19102
Blueprint_1_Product 19002
Blueprint_1_Products 3
Blueprint_1_Tool 19414
Blueprint_1_Tool_Critical
Blueprint_1_Build 32

Blueprint_2_Type Apparel
Blueprint_2_Supply_0_ID 19102
Blueprint_2_Product 19002
Blueprint_2_Products 3
Blueprint_2_Tool 19415
Blueprint_2_Tool_Critical
Blueprint_2_Build 32

Blueprint_3_Type Repair
Blueprint_3_Supplies 1
Blueprint_3_Supply_0_ID 19002
Blueprint_3_Supply_0_Amount 1
Blueprint_3_Build 32

Actions 2

Action_0_Type Blueprint
Action_0_Blueprints 3
Action_0_Blueprint_0_Index 0
Action_0_Blueprint_1_Index 1
Action_0_Blueprint_2_Index 2
Action_0_Text Scrap
Action_0_Tooltip Turn into <color=#ffffff>Cloth Fragments</color>.

Action_1_Type Blueprint
Action_1_Blueprint_0_Index 3
Action_1_Blueprint_0_Link
Action_1_Text Repair
Action_1_Tooltip Repair to 100% Quality.
