GUID 2e6de3968b1a4b2b9221a87432e3eb64
Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 51240

Size_X 5
Size_Y 2
Size_Z 0.45

Magazine 51910

Ammo_Min 3
Ammo_Max 6

Semi
Hook_Barrel
Hook_Sight
// Hook_Grip
// Hook_Tactical

Shell 51052

Caliber 51007

Range 50
Firerate 40
Action Pump

Player_Damage 13
Player_Leg_Multiplier 1
Player_Arm_Multiplier 1
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.2

Zombie_Damage 40
Zombie_Leg_Multiplier 0.7
Zombie_Arm_Multiplier 0.7
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.2

Animal_Damage 40
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.2

Barricade_Damage 10
Structure_Damage 15
Vehicle_Damage 20
Resource_Damage 20
Object_Damage 20

Durability 0
Quality_Min 100
Quality_Max 100

Ballistic_Steps 1

Recoil_Min_X 2
Recoil_Max_X 8

Recoil_Min_Y 30
Recoil_Max_Y 50

Spread_Aim 0.3
Spread_Hip 0.3

Recover_X -0.6
Recover_Y -0.01

Shake_Min_X 0.01
Shake_Min_Y 0.005
Shake_Min_Z -0.1
Shake_Max_X -0.01
Shake_Max_Y -0.005
Shake_Max_Z -0.12

Muzzle 

Blueprints 3
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 51240
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Outputs 2
// Manual Parts
Blueprint_0_Output_0_ID 51034
Blueprint_0_Output_0_Amount 2
// Metal Scrap
Blueprint_0_Output_1_ID 51017
Blueprint_0_Output_1_Amount 2
Blueprint_0_Build 27
Blueprint_1_Type Tool
Blueprint_1_Supplies 2
Blueprint_1_Supply_0_ID 51240
Blueprint_1_Supply_0_Amount 1
Blueprint_1_Supply_0_Critical
Blueprint_1_Supply_1_ID 51918
Blueprint_1_Supply_1_Amount 1
Blueprint_1_Supply_1_Critical
Blueprint_1_Outputs 1
Blueprint_1_Output_0_ID 51241
Blueprint_1_Output_0_Amount 1
Blueprint_1_State_Transfer
Blueprint_1_Build 27
Blueprint_1_Rewards 2
Blueprint_1_Reward_0_Type Flag_Bool
Blueprint_1_Reward_0_ID 52901
Blueprint_1_Reward_0_Value True
Blueprint_1_Reward_1_Type Rewards_List_Asset
Blueprint_1_Reward_1_GUID df781fd122e24562afc92a48aec65c23

Blueprint_2_Type Repair
Blueprint_2_Supply_0_ID 51034
Blueprint_2_Supply_0_Amount 1
Blueprint_2_Build 27


Actions 2
Action_0_Type Blueprint
Action_0_Blueprints 1
Action_0_Blueprint_0_Index 0
Action_0_Key Salvage
Action_1_Type Blueprint
Action_1_Blueprints 1
Action_1_Blueprint_0_Index 1
Action_1_Text Suppress «
Action_1_Tooltip Use a Baffle Kit to suppress this weapon.

Shoot_Quest_Rewards 1
Shoot_Quest_Reward_0_Type Rewards_List_Asset
Shoot_Quest_Reward_0_GUID ae7724167039492fb3bd8aeef222fcfa
