GUID fc16c3fad0bf42a2a99a4ad4f4b66aef
Type Magazine
Rarity Legendary
ID 51094

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Magazines/Military_Explosive_20

Spawn_Explosion_On_Dedicated_Server True
Size_X 1
Size_Y 2
Size_Z 0.3

Amount 100
Count_Min 5
Count_Max 15

Calibers 0

Tracer 55
Spread 1.15

Range 3
Player_Damage 0
Zombie_Damage 10
Animal_Damage 10
Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 15
Resource_Damage 50
Object_Damage 15
Explosion 51091
// Explosion 51099
Explosive

Delete_Empty
