// This file was generated in Demo build of BowieD's AssetEditor 0.0.16-alpha.6
Message_0_Page_0 Barters.
Response_0 Barter - White Fuse
Response_1 Complete Barter - White Fuse
Response_2 Barter - White Fuse
Response_3 Barter - Motor Oil
Response_4 Complete Barter - Motor Oil
Response_5 Barter - Motor Oil
Response_6 Barter - Metal Door
Response_7 Complete Barter - Metal Door
Response_8 Barter - Metal Door
Response_9 Barter - Metal Sheets
Response_10 Complete Barter - Metal Sheets
Response_11 Barter - Metal Sheets
Response_12 Barter - Iridium Traces
Response_13 Complete Barter - Iridium Traces
Response_14 Barter - Iridium Traces
Response_15 Barter - Adamantine Ore
Response_16 Complete Barter - Adamantine Ore
Response_17 Barter - Adamantine Ore
Response_18 Barter - Military Computer
Response_19 Complete Barter - Military Computer
Response_20 Barter - Military Computer
Response_21 Barter - Metal Safe
Response_22 Complete Barter - Metal Safe
Response_23 Barter - Metal Safe
Response_24 Barter - Oxygenator
Response_25 Complete Barter - Oxygenator
Response_26 Barter - Oxygenator
Response_27 Barter - Signal Receiver
Response_28 Complete Barter - Signal Receiver
Response_29 Barter - Signal Receiver
Response_30 Barter - Garage Gate
Response_31 Complete Barter - Garage Gate
Response_32 Barter - Garage Gate
Response_33 Return.
