// Made in NPC Maker by BowieD
GUID 34673eddbc254ccfab95bf5a0771c49a
Type Vendor
ID 13014
Buying 15
Buying_0_ID 19529
Buying_0_Cost 5
Buying_1_ID 59529
Buying_1_Cost 30
Buying_2_ID 19795
Buying_2_Cost 180
Buying_3_ID 59709
Buying_3_Cost 6
Buying_4_ID 19709
Buying_4_Cost 40
Buying_5_ID 19710
Buying_5_Cost 240
Buying_6_ID 59528
Buying_6_Cost 50
Buying_7_ID 59713
Buying_7_Cost 300
Buying_8_ID 59009
Buying_8_Cost 160
Buying_9_ID 22500
Buying_9_Cost 55
Buying_10_ID 22501
Buying_10_Cost 75
Buying_11_ID 22502
Buying_11_Cost 100
Buying_12_ID 22503
Buying_12_Cost 330
Buying_13_ID 22504
Buying_13_Cost 450
Buying_14_ID 22505
Buying_14_Cost 600
Selling 5
Selling_0_ID 49436
Selling_0_Cost 5800
Selling_1_ID 49437
Selling_1_Cost 18000
Selling_2_ID 49438
Selling_2_Cost 30000
Selling_3_ID 51266
Selling_3_Cost 500
Selling_4_ID 51267
Selling_4_Cost 850
Disable_Sorting
