GUID 0fa6caf11e604d91a843712df9d17106

Type Gun
Rarity Epic
Useable Gun
Slot Secondary
ID 63992

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_AK.wav

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Assault_Rifles/PS_Kalakov_M

Size_X 3
Size_Y 2
Size_Z 0.5

Magazine 63315
Grip 19750

Ammo_Min 10
Ammo_Max 30


Auto
Semi

Hook_Sight
Hook_Barrel
Hook_Tactical

Attachment_Calibers 3
Attachment_Caliber_0 18904
Attachment_Caliber_1 18906
Attachment_Caliber_2 18902

Magazine_Calibers 2
Magazine_Caliber_0 19315
Magazine_Caliber_1 19316

Firerate 5
Action Trigger

Player_Damage 38
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.9
Player_Skull_Multiplier 1.2

Zombie_Damage 100
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 100
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 90

Durability 0.1

Spread_Aim 0.05
Spread_Hip 0.09

Recoil_Min_X -1.6
Recoil_Min_Y 3.15
Recoil_Max_X 1.6
Recoil_Max_Y 5.4

Recover_X 1
Recover_Y 0.1

Shake_Min_X 0.004
Shake_Min_Y -0.003
Shake_Min_Z -0.01
Shake_Max_X -0.004
Shake_Max_Y -0.003
Shake_Max_Z -0.01

Range 160
Ballistic_Steps 75
Ballistic_Travel 8
Ballistic_Drop 0.002

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.25
Damage_Falloff_Multiplier 0.6

Muzzle 19026

Shell 19004

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18398
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27



Gunshot_Rolloff_Distance 600

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1


Quality_Min 50
Quality_Max 50
