GUID c61a76dfbf944794aefceb18aff389a1

Type Small
Has_Clip_Prefab false
ID 58058

Conditions 1
Condition_0_Type Flag_Bool
Condition_0_ID 57223
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Allow_Unset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 57223
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Item
Interactability_Reward_1_ID 57025 
Interactability_Reward_1_Amount 1
