GUID e91233ffe19e431e8e6f3178beca8a79

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 29149
EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Sniper.wav
Size_X 5
Size_Y 2
Size_Z 0.421

Aim_In_Duration 0.25
Use_Auto_Stat_Descriptions false
Magazine 33131

Hook_Sight

Ammo_Min 5
Ammo_Max 5

Semi
Safety

Attachment_Calibers 1
Attachment_Caliber_0 58884

Magazine_Calibers 1
Magazine_Caliber_0 20000

Firerate 50
Action Bolt

Player_Damage 65
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.7
Player_Skull_Multiplier 1.2

Zombie_Damage 166
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.9
Zombie_Skull_Multiplier 1.3

Animal_Damage 155
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 50
Structure_Damage 50
Vehicle_Damage 250
Resource_Damage 250
Object_Damage 250

Durability 0.6

Spread_Aim 0.005
Spread_Hip 0.32

Range 220
Ballistic_Steps 40
Ballistic_Travel 15
Ballistic_Drop 0.0014

Recoil_Min_X 3
Recoil_Min_Y 6
Recoil_Max_X 4
Recoil_Max_Y 7

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X 0.005
Shake_Min_Y 0.005
Shake_Min_Z -0.03
Shake_Max_X 0.005
Shake_Max_Y 0.005
Shake_Max_Z -0.03

Muzzle 19001

Shell 19005

Gunshot_Rolloff_Distance 1000

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 0.7

Spread_Prone 1
Spread_Crouch 1


Quality_Min 50
Quality_Max 50
