GUID f164febd9b1f4c05b9683d794b13ca56

Type Gun
Rarity Rare
Useable Gun
Slot Primary
ID 44075

Size_X 4
Size_Y 2
Size_Z 0.4

Sight 364
Magazine 44016

Ammo_Min 30
Ammo_Max 30

Semi
Bursts 1

Caliber 44002

Range 600
Firerate 10
Action Pump

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 99
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 40
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 20
Structure_Damage 15
Vehicle_Damage 35
Resource_Damage 15
Object_Damage 25

Spread_Aim 0.05
Spread_Hip 0.1

Recoil_Min_X -0.5
Recoil_Min_Y 3
Recoil_Max_X 0.5
Recoil_Max_Y 4

Recover_X 0.6
Recover_Y 0.6

Shake_Min_X -0.0025
Shake_Min_Y 0.0025
Shake_Min_Z -0.01
Shake_Max_X 0.0025
Shake_Max_Y -0.0025
Shake_Max_Z -0.02

Muzzle 4

Invulnerable

Can_Use_Underwater True

Shell 1

Master_Bundle_Override core.masterbundle
Bundle_Override_Path /Items/Guns/Maplestrike
