GUID 482e4bba8eef40e0b194147112639460

Type Small
Has_Clip_Prefab false
ID 57978

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Short
Interactability_Reward_0_ID 57207
Interactability_Reward_0_Value 1
Interactability_Reward_0_Modification Increment

Conditions 1
Condition_0_Type Flag_Short
Condition_0_ID 57207
Condition_0_Value 4
Condition_0_Logic Less_Than
Condition_0_Allow_Unset

Interactability_Conditions 2
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 57469
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset

Interactability_Condition_1_Type Flag_Bool
Interactability_Condition_1_ID 57367
Interactability_Condition_1_Value True
Interactability_Condition_1_Logic Equal



Master_Bundle_Override metro.masterbundle
Bundle_Override_Path /Objects/Quest/NPC/Bank/Metro_Deposit
