GUID c3af5bd0fc8746f0998904c92b6b320e
Type Melee
Rarity Uncommon
Useable Melee
ID 59531
Slot Any

Size_X 1
Size_Y 2
Size_Z 0.7

Range 1.5
Strength 1.5
Weak 0.47
Strong 0.47
Stamina 35

Player_Damage 40
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.14

Zombie_Damage 55
Zombie_Leg_Multiplier 0.6
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.8
Zombie_Skull_Multiplier 1.55

Animal_Damage 45
Animal_Leg_Multiplier 0.7
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.5

Barricade_Damage 30
Structure_Damage 30
Vehicle_Damage 4
Resource_Damage 100
Object_Damage 50

Quality_Min 100

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59000
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
