GUID 00e7697714f5458f87194baa86b0aa5b

Type Gun
Rarity Legendary
Useable Gun
Slot Secondary
ID 59966

Unplace 0.3
Replace 0.7

Size_X 3
Size_Y 2
Size_Z 0.33

Magazine 19955
Grip 19881
Barrel 19954

Hook_Sight

Ammo_Min 11
Ammo_Max 30

Safety
Semi
Auto

Attachment_Calibers 1
Attachment_Caliber_0 58904

Magazine_Calibers 1
Magazine_Caliber_0 59955

Firerate 3
Action Trigger

Player_Damage 10
Player_Leg_Multiplier 0.4
Player_Arm_Multiplier 0.4
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.2

Zombie_Damage 25
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 25
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 5
Structure_Damage 5
Vehicle_Damage 5
Resource_Damage 5
Object_Damage 5

Durability 0.01

Spread_Aim 0.001
Spread_Hip 0.03

Recoil_Min_X -0.7
Recoil_Min_Y 1
Recoil_Max_X -0.5
Recoil_Max_Y 1

Recover_X 0
Recover_Y 0

Shake_Min_X -0.0005
Shake_Min_Y -0.002
Shake_Min_Z -0.005
Shake_Max_X 0.0005
Shake_Max_Y -0.003
Shake_Max_Z -0.005

Range 304
Ballistic_Steps 76
Ballistic_Travel 4
Ballistic_Drop 0.005

Damage_Falloff_Range 0.02
Damage_Falloff_Multiplier 0.1

Gunshot_Rolloff_Distance 75

Muzzle 19022

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59010
Blueprint_0_Supply_0_Amount 2
Blueprint_0_Build 27


BladeID 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 0.8
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Always

Quality_Min 60
Quality_Max 100
