GUID b404a9b794564f00a0929ee1d5da565d

Type Small
Has_Clip_Prefab false
ID 57896

Interactability_Conditions 3
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 57695 
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset

Interactability_Condition_1_Type Flag_Bool
Interactability_Condition_1_ID 57102
Interactability_Condition_1_Value True
Interactability_Condition_1_Logic Equal

Interactability_Condition_2_Type Flag_Bool
Interactability_Condition_2_ID 57321
Interactability_Condition_2_Value True
Interactability_Condition_2_Logic Equal

Interactability Quest
Interactability_Effect 57028
Interactability_Rewards 1
Interactability_Reward_0_Type Item_Random
Interactability_Reward_0_ID 57167
Interactability_Reward_0_Amount 1

Holiday_Restriction CHRISTMAS
