GUID c0e7bfce0ed24212a8509cda010d09d3
Type Magazine
Rarity Legendary
ID 10840

Size_X 1
Size_Y 1
Size_Z 0.15

Amount 1
Count_Min 1
Count_Max 1

Calibers 1
Caliber_0 18850

Tracer 19030

Blueprints 1
Blueprint_0_Type Tool
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 18999
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Tool 18999
Blueprint_0_Tool_Critical
Blueprint_0_Build 27
Delete_Empty

Range 9
Player_Damage 100
Zombie_Damage 200
Animal_Damage 200
Barricade_Damage 80
Structure_Damage 105
Vehicle_Damage 100
Resource_Damage 200
Object_Damage 200
Explosion 19027
Explosive
Ballistic_Damage_Multiplier 0.5

Explosion_Launch_Speed 15
