GUID 239adc00f8b545a5a80fda9b4be48717
Type Gun
Rarity Mythical
Useable Gun
Slot Any
ID 19946

EquipAudioClip aridreborn.masterbundle:Assets/Guns_Equip/Equip_Colt.wav

Size_X 2
Size_Y 2
Size_Z 0.321

Magazine 19289

Sight 19786

Ammo_Min 8
Ammo_Max 8

Ammo_Per_Shot 0

Semi
Auto

Magazine_Calibers 1
Magazine_Caliber_0 18808

Firerate 3
Action Trigger

Player_Damage 0
Player_Leg_Multiplier 0
Player_Arm_Multiplier 0
Player_Spine_Multiplier 0
Player_Skull_Multiplier 0

Zombie_Damage 200
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.3

Animal_Damage 200
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.1

Barricade_Damage 1000
Structure_Damage 1000
Vehicle_Damage 1000
Resource_Damage 100
Object_Damage 100

Durability 0

Spread_Aim 0
Spread_Hip 0

Recoil_Min_X 0
Recoil_Min_Y 0
Recoil_Max_X 0
Recoil_Max_Y 0

Recover_X 0
Recover_Y 0

Shake_Min_X 0
Shake_Min_Y 0
Shake_Min_Z 0
Shake_Max_X 0
Shake_Max_Y 0
Shake_Max_Z 0

Range 400
Ballistic_Steps 1
Ballistic_Drop 0

Muzzle 61

Shell 33

Gunshot_Rolloff_Distance 10

BladeIDs 2
BladeID_0 0
BladeID_1 2

Use_Auto_Icon_Measurements False

Recoil_Crouch 1
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Player_Damage_Bleeding Heal

Quality_Min 100
Quality_Max 100

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Items/Guns/Handguns/PS_Colt

Should_Drop_On_Death False
