GUID 486f93a901f94e169577c861b030ddb0

Type Small
Has_Clip_Prefab false
ID 57480

Conditions 2
Condition_0_Type Flag_Bool
Condition_0_ID 57009
Condition_0_Value True
Condition_0_Logic Equal
Condition_1_Type Flag_Bool
Condition_1_ID 57011
Condition_1_Value False
Condition_1_Logic Equal
Condition_1_Allow_Unset

Interactability Quest
Interactability_Effect 32
Interactability_Rewards 2
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 57011
Interactability_Reward_0_Value True
Interactability_Reward_1_Type Flag_Short
Interactability_Reward_1_ID 57014
Interactability_Reward_1_Value 1
Interactability_Reward_1_Modification Increment

Asset_Bundle_Version 3
