GUID df192fa34f384722a2bd4f4a86cba6b1

Type Melee
Useable Melee
Slot Any
ID 36030

Size_X 2
Size_Y 3

Range 4
Strength 1.5
Stamina 0

BladeIDs 2
BladeID_0 36
BladeID_1 0

Player_Damage 24
Player_Leg_Multiplier 0.6
Player_Arm_Multiplier 0.6
Player_Spine_Multiplier 0.8
Player_Skull_Multiplier 1.1

Zombie_Damage 24
Zombie_Leg_Multiplier 0.3
Zombie_Arm_Multiplier 0.3
Zombie_Spine_Multiplier 0.6
Zombie_Skull_Multiplier 1.1

Animal_Damage 24
Animal_Leg_Multiplier 0.3
Animal_Spine_Multiplier 0.6
Animal_Skull_Multiplier 1.1

Barricade_Damage 15
Structure_Damage 10
Vehicle_Damage 25
Resource_Damage 100
Object_Damage 100

Durability 0



AttackAudioClip core.masterbundle:Sounds/MeleeAttack_01.mp3
