GUID c25bc35ed1b44cae831d218259cd0fc7
Type Medium
ID 45142

Interactability Quest
Interactability_Effect 6
Interactability_Conditions 1
Interactability_Condition_0_Type Currency
Interactability_Condition_0_Value 2
Interactability_Condition_0_GUID fb2b14af67b641fbbd062f8fbc40b288
Interactability_Condition_0_Logic Greater_Than_Or_Equal_To
Interactability_Condition_0_Reset
Interactability_Rewards 1
Interactability_Reward_0_Type Item
Interactability_Reward_0_ID 45059
Interactability_Reward_0_Amount 1

Material_Palette 6f6174340e8a4d7098f9f33825df9c89
