GUID 925135181384413d9f6cfe7964a4cf22
Type Gun
Rarity Uncommon
Useable Gun
Requires_NonZero_Attachment_Caliber True
Slot Primary
ID 30610

Instantiated_Item_Name_Override 11027
EquipAudioClip classicweapons.masterbundle:Assets/Guns_Equip/Equip_Sniper.wav

Size_X 5
Size_Y 2
Size_Z 0.3


Magazine 33131

Hook_Sight

Ammo_Min 1
Ammo_Max 5

Safety
Semi

Magazine_Calibers 1
Magazine_Caliber_0 53331

Attachment_Calibers 1
//Scope
Attachment_Caliber_0 18904

Muzzle 30041

Shell 30006

Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1

BladeIDs 2
BladeID_0 0
BladeID_1 2
Use_Auto_Stat_Descriptions false

Use_Auto_Icon_Measurements False

Player_Damage_Bleeding Always




////////////////////////////////////////Balance Stats

Range 600
Ballistic_Steps 60
Ballistic_Drop 0.00055
Damage_Falloff_Multiplier 0.6
Damage_Falloff_Range 0.666
Damage_Falloff_Max_Range 1
Gunshot_Rolloff_Distance 1200



Firerate 50
Action Bolt

Player_Damage 55
Player_Leg_Multiplier 0.5
Player_Arm_Multiplier 0.5
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.7

Zombie_Damage 194
Zombie_Leg_Multiplier 0.5
Zombie_Arm_Multiplier 0.5
Zombie_Spine_Multiplier 1
Zombie_Skull_Multiplier 1.7

Animal_Damage 194
Animal_Leg_Multiplier 0.5
Animal_Spine_Multiplier 1
Animal_Skull_Multiplier 1.7

Barricade_Damage 30
Structure_Damage 30
Vehicle_Damage 20
Resource_Damage 36
Object_Damage 40

Durability 0.5

Recoil_Min_X -5.4
Recoil_Min_Y 15
Recoil_Max_X 5.4
Recoil_Max_Y 20

Recover_X 0.8
Recover_Y 0.85

Shake_Min_X -0.01
Shake_Max_X 0.01

Shake_Min_Y -0.015
Shake_Max_Y -0.02

Shake_Min_Z -0.025
Shake_Max_Z -0.03

Recoil_Midair 3

Spread_Aim 0.02
Spread_Hip 0.04
Spread_Midair 3
