GUID 153064cc147c425da5510dd18d1609c8

Type Gun
Rarity Rare
Useable Gun
Slot Secondary
ID 39149

Size_X 2
Size_Y 2
Size_Z 0.27

Magazine 39150

Ammo_Min 8
Ammo_Max 8

Semi

Range 200
Firerate 3
Action Trigger

Use_Auto_Icon_Measurements True
Use_Auto_Stat_Descriptions false


Unplace 0.2
Replace 0.7

Muzzle 19023
Shell 39112

Magazine_Calibers 1
Magazine_Caliber_0 39200



Player_Damage 35
Player_Leg_Multiplier 0.8
Player_Arm_Multiplier 0.9
Player_Spine_Multiplier 1
Player_Skull_Multiplier 1.3

Zombie_Damage 95
Zombie_Leg_Multiplier 0.4
Zombie_Arm_Multiplier 0.6
Zombie_Spine_Multiplier 0.5
Zombie_Skull_Multiplier 1.1

Animal_Damage 40
Animal_Leg_Multiplier 0.6
Animal_Spine_Multiplier 0.8
Animal_Skull_Multiplier 1.4

Barricade_Damage 15
Structure_Damage 15
Vehicle_Damage 40
Resource_Damage 80
Object_Damage 80

Durability 0.2

Spread_Aim 0.06
Spread_Hip 0.1

Recoil_Min_X -3
Recoil_Min_Y 7
Recoil_Max_X -1
Recoil_Max_Y 10

Recover_X 0.5
Recover_Y 0.5

Shake_Min_X -0.015
Shake_Min_Y 0.01
Shake_Min_Z -0.05
Shake_Max_X 0.01
Shake_Max_Y -0.02
Shake_Max_Z -0.075

Recoil_Crouch 0.9
Recoil_Prone 1

Spread_Prone 1
Spread_Crouch 1

Ballistic_Steps 20
Ballistic_Travel 10
Ballistic_Drop 0.003

Damage_Falloff_Range 0.05
Damage_Falloff_Max_Range 0.25
Damage_Falloff_Multiplier 0.5

Aim_In_Duration 0.3

Alert_Radius 256

Gunshot_Rolloff_Distance 500
Blueprints 1
Blueprint_0_Type Repair
Blueprint_0_Supplies 1
Blueprint_0_Supply_0_ID 59659
Blueprint_0_Supply_0_Amount 1
Blueprint_0_Build 27
