GUID 500b47ec3fc84163a6c0fb19d63b491f

Type Small
ID 62264

Master_Bundle_Override aridreborn.masterbundle
Bundle_Override_Path /Objects/Smol/PS_Marking_Flare_1

Conditions 1
//исчезает при взятии
Condition_0_Type Flag_Bool
Condition_0_ID 30207
Condition_0_Value False
Condition_0_Logic Equal
Condition_0_Reset


Interactability_Conditions 1
Interactability_Condition_0_Type Item
Interactability_Condition_0_ID 59515
Interactability_Condition_0_Amount 1
Interactability_Condition_0_Reset

Interactability Quest
Interactability_Effect 7
Interactability_Rewards 1
Interactability_Reward_0_Type Flag_Bool
Interactability_Reward_0_ID 30207
Interactability_Reward_0_Value true
